name,U8Pb6,s[U8Pb6],Pb86,s[Pb86],"rho[U8Pb6,Pb86]",U5Pb7,s[U5Pb7],Pb87,s[Pb87],"rho[U5Pb7,Pb87]",U48,s[U48],Pb86c,s[Pb86c],Pb87c,s[Pb87c]
SLL10-4 A top,4957,110.978473204,0.1370,0.002103079994045,-0.0354,435.53,10.2874716006,1.6590,0.04576,0.4883,6.2590E-05,8.5316E-08,1.4720,0.09854,2.4659,0.04575754721485
SLL10-4 A (1),4932,51.6577832048,0.2803,0.00919524057057,0.2434,256.93,3.20022885354,2.0122,0.07216,0.4921,6.2777E-05,1.0093E-07,1.4705,0.10044,2.4649,0.0721604926425
SLL10-4 A bottom,5082,136.6877290835,0.2658,0.00917379431409,-0.0588,269.41,11.38745679445,1.9408,0.11955,0.6752,6.2818E-05,8.3621E-08,1.4701,0.09698,2.4655,0.1195452408245
SLL10-4 B top,5321,95.7713956069,0.1143,0.00407364767364,0.1731,496.85,14.295955362,1.4702,0.06562,0.6535,6.1234E-05,8.2474E-08,1.4715,0.10098,2.4644,0.06562429964865
SLL10-4 B bottom,4676,57.92706492965,0.2378,0.005003989082615,-0.3334,289.15,9.5834996815,2.0259,0.11172,0.8527,,,1.4716,0.10067,2.4641,0.1117209880565
SLL10-4 C,5111,68.68744651045,0.0460,0.00158817547759,-0.0537,795.10,19.9737983274,0.9861,0.04941,0.6579,5.9296E-05,7.8156E-08,1.4709,0.09828,2.4657,0.04940871325075
SLL10-5 B,4904,82.5695946166,0.1915,0.00467565857037,-0.1356,384.11,9.810513211665,2.0670,0.08431,0.5902,6.1149E-05,8.2983E-08,1.4720,0.10126,2.4644,0.08430923460795
SLL10-5 C,3667,61.88817152565,0.5170,0.0108700337563,-0.2902,117.00,2.75142288084,2.2723,0.08552,0.5173,6.1335E-05,8.2395E-08,1.4694,0.10275,2.4650,0.085520077484
SLL9-2 B (1),7427,89.6542717429,0.2537,0.011503451013015,-0.5700,410.26,9.32176840424,1.9292,0.10764,0.2371,6.5336E-05,1.0339E-07,1.4705,0.10215,2.4643,0.10764212902675
SLL9-2 C (1),4929,89.4174017881,0.3319,0.01476493352018,0.0904,218.07,19.37075289505,2.0256,0.19873,0.8867,6.1366E-05,9.8860E-08,1.4710,0.10043,2.4659,0.1987340262515
