D:\Data_Here\Mark Stanley\20240503_MS_DNLR.b\91500#14.d
Intensity Vs Time,CPS
Acquired      : 2024-03-05 17:33:12 using Batch 20240503_MS_DNLR.b
Time [Sec],Si29,Zr91,La139,Pb206,Pb207,Pb208,Th232,U235,U238
0.2830,37798.20,0.00,0.00,60.00,16.67,0.00,0.00,0.00,0.00
0.5330,39469.22,0.00,0.00,20.00,50.00,25.00,0.00,0.00,0.00
0.7830,39302.11,0.00,0.00,20.00,16.67,100.00,0.00,0.00,0.00
1.0330,38299.48,0.00,0.00,60.00,33.33,75.00,0.00,0.00,0.00
1.2830,37213.39,0.00,0.00,100.00,0.00,125.00,0.00,0.00,0.00
1.5330,36127.37,0.00,0.00,200.00,66.67,100.00,0.00,0.00,0.00
1.7830,37965.29,0.00,0.00,80.00,16.67,25.00,0.00,0.00,0.00
2.0330,36127.37,0.00,0.00,40.00,50.00,75.00,0.00,0.00,50.00
2.2831,37965.29,0.00,0.00,0.00,66.67,0.00,0.00,0.00,0.00
2.5331,36628.60,0.00,0.00,20.00,50.00,75.00,0.00,0.00,0.00
2.7831,37881.74,0.00,0.00,40.00,16.67,75.00,0.00,0.00,0.00
3.0331,38048.84,0.00,0.00,0.00,33.33,100.00,0.00,0.00,0.00
3.2831,38299.48,0.00,0.00,0.00,33.33,75.00,0.00,0.00,0.00
3.5331,36377.98,0.00,0.00,20.00,50.00,150.00,0.00,0.00,0.00
3.7831,38132.39,0.00,0.00,20.00,33.33,50.00,0.00,0.00,0.00
4.0331,40054.12,0.00,0.00,60.00,33.33,25.00,0.00,0.00,0.00
4.2831,35960.30,0.00,0.00,0.00,33.33,25.00,0.00,0.00,0.00
4.5331,40137.68,0.00,0.00,40.00,16.67,75.00,0.00,0.00,0.00
4.7831,40973.30,0.00,0.00,20.00,66.67,25.00,0.00,0.00,0.00
5.0331,36294.44,0.00,0.00,20.00,33.33,125.00,0.00,0.00,0.00
5.2832,39469.22,0.00,0.00,80.00,0.00,200.00,0.00,0.00,0.00
5.5332,36962.76,0.00,0.00,40.00,33.33,175.00,0.00,0.00,0.00
5.7832,38633.68,0.00,0.00,80.00,16.67,100.00,0.00,0.00,50.00
6.0332,39887.00,0.00,0.00,20.00,16.67,0.00,0.00,0.00,0.00
6.2832,37881.74,0.00,0.00,20.00,0.00,75.00,0.00,0.00,0.00
6.5332,36879.22,0.00,0.00,40.00,50.00,250.00,600.01,0.00,6151.46
6.7832,238828.00,7181400.88,400.01,3240.40,816.69,1750.12,9353.36,200.00,33794.03
7.0332,890328.29,27029757.04,0.00,8422.69,933.37,1400.07,15258.95,450.01,44626.75
7.2832,1091120.04,37145596.29,0.00,7922.38,1000.04,1375.07,16310.23,550.01,52154.79
7.5332,1175179.74,61370943.08,0.00,9703.56,866.70,1100.05,22369.23,250.00,59988.60
7.7832,1219141.40,51020064.95,0.00,10564.22,700.02,1625.10,20265.79,800.02,68681.62
8.0333,1236482.42,59010533.15,0.00,10804.42,800.02,1075.04,16961.06,300.00,64309.25
8.2833,1202206.48,47350770.81,0.00,11144.70,900.03,1175.05,17962.40,650.02,59335.60
8.5333,1287226.69,51039252.96,0.00,10163.91,716.69,1100.05,19865.17,500.01,59837.90
