D:\Data_Here\Mark Stanley\20240503_MS_DNLR.b\DLNR_088.d
Intensity Vs Time,CPS
Acquired      : 2024-03-05 17:40:03 using Batch 20240503_MS_DNLR.b
Time [Sec],Si29,Zr91,La139,Pb206,Pb207,Pb208,Th232,U235,U238
0.2829,36043.83,0.00,0.00,60.00,16.67,25.00,0.00,0.00,0.00
0.5330,37631.11,0.00,0.00,20.00,16.67,175.00,0.00,0.00,50.00
0.7830,37464.02,0.00,0.00,20.00,33.33,75.00,0.00,0.00,0.00
1.0330,36043.83,0.00,0.00,40.00,33.33,50.00,0.00,0.00,0.00
1.2830,33537.95,0.00,0.00,40.00,16.67,50.00,0.00,0.00,0.00
1.5330,36879.22,0.00,0.00,60.00,0.00,25.00,0.00,0.00,0.00
1.7830,35626.15,0.00,0.00,80.00,50.00,50.00,0.00,0.00,0.00
2.0330,38383.04,0.00,0.00,20.00,33.33,0.00,0.00,0.00,0.00
2.2830,36210.91,0.00,0.00,20.00,0.00,25.00,0.00,0.00,0.00
2.5330,35876.76,0.00,0.00,0.00,16.67,25.00,0.00,0.00,0.00
2.7830,37213.39,0.00,0.00,60.00,16.67,25.00,0.00,0.00,50.00
3.0330,37714.65,0.00,0.00,20.00,16.67,150.00,50.00,0.00,0.00
3.2831,35375.56,0.00,0.00,20.00,50.00,75.00,0.00,0.00,0.00
3.5331,35960.30,0.00,0.00,60.00,33.33,25.00,0.00,0.00,0.00
3.7831,35709.69,0.00,0.00,60.00,0.00,50.00,50.00,50.00,0.00
4.0331,34790.84,0.00,0.00,20.00,50.00,100.00,0.00,0.00,0.00
4.2831,32702.75,0.00,0.00,20.00,33.33,125.00,0.00,0.00,0.00
4.5331,32869.79,0.00,0.00,20.00,33.33,175.00,0.00,0.00,0.00
4.7831,32869.79,0.00,0.00,0.00,66.67,25.00,0.00,0.00,0.00
5.0331,36043.83,0.00,0.00,40.00,33.33,25.00,100.00,0.00,0.00
5.2831,34957.90,0.00,0.00,60.00,0.00,100.00,0.00,0.00,0.00
5.5331,38048.84,0.00,0.00,0.00,16.67,75.00,0.00,0.00,0.00
5.7831,34206.14,0.00,0.00,80.00,0.00,75.00,0.00,50.00,0.00
