D:\Data_Here\Mark Stanley\20240503_MS_DNLR.b\GJ1#11.d
Intensity Vs Time,CPS
Acquired      : 2024-03-05 17:07:50 using Batch 20240503_MS_DNLR.b
Time [Sec],Si29,Zr91,La139,Pb206,Pb207,Pb208,Th232,U235,U238
0.2829,39302.11,0.00,0.00,60.00,16.67,50.00,0.00,0.00,0.00
0.5329,36127.37,0.00,0.00,40.00,50.00,100.00,0.00,0.00,0.00
0.7829,37547.56,0.00,0.00,20.00,16.67,25.00,0.00,0.00,0.00
1.0329,36461.52,0.00,0.00,20.00,16.67,25.00,0.00,0.00,0.00
1.2829,40471.92,0.00,0.00,60.00,0.00,50.00,0.00,0.00,100.00
1.5329,37129.84,0.00,0.00,80.00,33.33,75.00,0.00,0.00,0.00
1.7829,39469.22,0.00,0.00,40.00,16.67,25.00,0.00,0.00,50.00
2.0329,40722.61,0.00,0.00,80.00,16.67,75.00,0.00,0.00,100.00
2.2829,35208.49,0.00,0.00,40.00,16.67,25.00,0.00,0.00,0.00
2.5329,35459.09,0.00,0.00,100.00,50.00,50.00,0.00,0.00,0.00
2.7829,39385.66,0.00,0.00,20.00,0.00,25.00,0.00,0.00,0.00
3.0330,40722.61,0.00,0.00,60.00,33.33,75.00,0.00,0.00,0.00
3.2830,36461.52,0.00,0.00,60.00,16.67,75.00,0.00,0.00,0.00
3.5330,37213.39,0.00,0.00,40.00,16.67,50.00,0.00,0.00,0.00
3.7830,38383.04,0.00,0.00,20.00,0.00,25.00,0.00,50.00,50.00
4.0330,41892.53,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00
4.2830,39552.78,0.00,0.00,20.00,33.33,100.00,0.00,0.00,50.00
4.5330,41307.56,0.00,0.00,80.00,0.00,100.00,0.00,50.00,0.00
4.7830,37714.65,0.00,0.00,40.00,16.67,50.00,50.00,0.00,0.00
5.0330,39135.00,0.00,0.00,20.00,0.00,125.00,0.00,0.00,0.00
5.2830,42059.67,0.00,0.00,80.00,0.00,75.00,0.00,0.00,0.00
5.5331,34957.90,0.00,0.00,0.00,16.67,25.00,0.00,0.00,0.00
5.7831,37547.56,0.00,0.00,20.00,50.00,50.00,0.00,0.00,0.00
6.0331,40054.12,0.00,0.00,40.00,50.00,25.00,50.00,0.00,0.00
6.2831,40388.36,0.00,0.00,140.00,16.67,75.00,0.00,0.00,0.00
6.5331,36043.83,0.00,0.00,60.00,50.00,425.01,450.01,50.00,35298.03
6.7831,286750.94,6604635.74,200.00,7982.41,716.69,825.03,1850.13,750.02,149002.15
7.0331,720275.23,34558460.36,0.00,13266.66,883.36,850.03,4150.66,1450.08,196326.72
7.2831,1331383.87,53324846.74,0.00,18933.56,1200.05,400.01,4600.81,1450.08,277593.12
7.5331,1341418.44,69266382.23,0.00,22679.46,1216.72,250.00,4700.85,1500.09,208108.54
7.7831,1180726.79,48080598.44,0.00,20195.43,1200.05,150.00,4850.90,1850.13,246014.38
8.0331,1739069.36,62648056.05,0.00,24001.79,1533.42,250.00,5601.21,2150.18,259932.28
8.2831,1431078.47,56506981.79,0.00,21096.84,1300.06,275.00,4800.89,1600.10,231398.71
8.5332,1330730.43,43516471.16,0.00,21777.94,1250.06,150.00,5351.10,2250.20,252589.14
8.7832,1402392.79,67417785.42,0.00,23561.00,1483.42,175.00,5651.23,1450.08,275652.32
9.0332,1709519.65,43289802.12,0.00,22599.32,1366.74,300.00,5101.00,1600.10,236743.99
9.2832,1318184.76,57212155.40,0.00,20195.43,1283.40,250.00,4600.81,1750.12,238526.27
9.5332,1616766.40,59569832.33,0.00,23540.96,1933.47,325.00,5551.19,2150.18,235827.51
9.7832,1738274.45,59836243.90,0.00,21898.14,1350.07,225.00,5050.98,2150.18,240003.17
10.0332,1287537.74,53655313.24,0.00,21016.71,1566.76,225.00,5351.10,1950.15,255240.36
10.2832,1420217.65,73319436.58,0.00,24382.49,1683.44,450.01,5000.96,1950.15,249581.67
10.5332,1563421.41,65530755.65,0.00,21818.01,1050.04,450.01,5351.10,1950.15,213545.97
10.7832,1573210.83,51662550.13,0.00,21677.78,1350.07,150.00,5651.23,1750.12,223969.80
11.0332,1391851.66,56899738.15,0.00,21357.26,1466.75,225.00,4850.90,1650.10,253149.93
11.2833,1377120.01,53770896.81,0.00,21777.94,1400.07,225.00,4650.83,1100.05,229210.30
11.5333,1736243.99,51782062.40,0.00,21417.36,1516.75,200.00,4250.70,1550.09,224325.90
11.7833,1373128.21,46708684.19,0.00,20916.55,1516.75,225.00,4400.74,1600.10,227480.20
12.0333,1671865.37,47716254.00,0.00,23400.72,1300.06,175.00,4750.87,2150.18,220409.52
12.2833,1268148.99,56606338.10,0.00,19915.01,1300.06,300.00,5000.96,2050.16,241429.32
12.5333,1594154.83,61894656.19,0.00,23721.29,1366.74,300.00,5701.25,1900.14,221579.22
12.7833,1529387.40,57184369.79,0.00,20535.96,1500.09,325.00,4800.89,1100.05,205111.30
13.0333,1478453.04,57434667.99,0.00,22759.60,1433.41,225.00,5000.96,1450.08,231195.12
13.2833,1363088.22,53288919.04,0.00,20195.43,1250.06,250.00,3700.53,1650.10,205822.44
13.5333,1403757.95,45465733.86,0.00,20836.43,950.03,375.01,4850.90,1700.11,186178.53
13.7833,1449914.24,63912016.39,0.00,20616.08,1316.73,325.00,4600.81,1750.12,211157.28
14.0334,1352149.65,50857166.15,0.00,21497.48,1333.40,325.00,4050.63,1550.09,220663.79
14.2834,1409641.97,50880909.17,0.00,20375.71,1166.72,125.00,3900.59,1700.11,210445.85
14.5334,1387488.33,50700245.80,0.00,21818.01,1483.42,125.00,3200.39,1250.06,191150.15
14.7834,1211261.48,51659304.68,0.00,18212.55,1166.72,150.00,4200.68,1750.12,200997.56
15.0334,1293560.01,53949282.67,0.00,18392.80,1216.72,175.00,5101.00,1500.09,215833.42
15.2834,1214639.83,54694312.68,0.00,19714.71,1100.05,200.00,5000.96,1550.09,221274.07
15.5334,1398038.09,56694762.38,0.00,18993.65,1133.38,350.00,4400.74,1400.08,199728.14
