D:\Data_Here\Mark Stanley\20240503_MS_DNLR.b\GLASS#4.d
Intensity Vs Time,CPS
Acquired      : 2024-03-05 18:52:06 using Batch 20240503_MS_DNLR.b
Time [Sec],Si29,Zr91,La139,Pb206,Pb207,Pb208,Th232,U235,U238
0.2834,36127.37,0.00,0.00,20.00,33.33,75.00,0.00,0.00,0.00
0.5334,36712.14,0.00,0.00,40.00,50.00,0.00,0.00,0.00,0.00
0.7834,33036.83,0.00,0.00,0.00,16.67,75.00,0.00,0.00,0.00
1.0334,37380.48,0.00,0.00,20.00,16.67,25.00,0.00,0.00,0.00
1.2834,33788.52,0.00,0.00,80.00,16.67,0.00,0.00,0.00,0.00
1.5334,32619.24,0.00,0.00,20.00,33.33,100.00,0.00,0.00,0.00
1.7834,36879.22,0.00,0.00,40.00,100.00,75.00,0.00,0.00,0.00
2.0334,34874.37,0.00,0.00,0.00,16.67,75.00,0.00,0.00,0.00
2.2834,33120.35,0.00,0.00,60.00,33.33,100.00,0.00,0.00,0.00
2.5334,34206.14,0.00,0.00,0.00,0.00,50.00,0.00,0.00,0.00
2.7835,38048.84,0.00,0.00,40.00,0.00,100.00,0.00,0.00,0.00
3.0335,35626.15,0.00,0.00,0.00,50.00,75.00,50.00,0.00,0.00
3.2835,36712.14,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00
3.5335,36545.06,0.00,0.00,20.00,33.33,0.00,0.00,0.00,0.00
3.7835,33370.91,0.00,0.00,40.00,16.67,50.00,0.00,0.00,0.00
4.0335,36043.83,0.00,0.00,0.00,16.67,25.00,0.00,0.00,0.00
4.2835,35709.69,0.00,0.00,20.00,16.67,75.00,0.00,0.00,0.00
4.5335,35876.76,0.00,0.00,0.00,16.67,25.00,0.00,0.00,0.00
4.7835,41307.56,0.00,0.00,0.00,16.67,0.00,0.00,0.00,0.00
5.0335,35626.15,0.00,0.00,0.00,16.67,25.00,0.00,0.00,0.00
5.2835,33203.87,0.00,0.00,40.00,0.00,100.00,0.00,0.00,0.00
5.5336,36377.98,0.00,0.00,20.00,0.00,25.00,0.00,0.00,0.00
5.7836,38132.39,0.00,0.00,20.00,0.00,25.00,0.00,0.00,0.00
6.0336,34373.20,0.00,0.00,20.00,16.67,25.00,0.00,0.00,0.00
6.2836,34039.10,0.00,0.00,40.00,0.00,50.00,0.00,0.00,50.00
6.5336,33537.95,0.00,0.00,260.00,1950.14,15008.54,2850.31,0.00,5451.15
6.7836,666073.45,1500.08,10804.24,14187.62,12072.19,29332.58,11955.50,50.00,12606.13
7.0336,1541273.60,6001.27,22618.57,14828.32,10687.66,27378.39,15759.55,50.00,14157.73
7.2836,1828176.41,3000.32,25223.09,8782.92,9653.53,17161.16,17011.12,100.00,16410.39
