D:\Data_Here\Mark Stanley\20240503_MS_DNLR.b\STDCZ#23.d
Intensity Vs Time,CPS
Acquired      : 2024-03-05 18:35:24 using Batch 20240503_MS_DNLR.b
Time [Sec],Si29,Zr91,La139,Pb206,Pb207,Pb208,Th232,U235,U238
0.2829,35960.30,0.00,0.00,40.00,0.00,75.00,0.00,0.00,0.00
0.5329,34874.37,0.00,0.00,20.00,0.00,75.00,0.00,0.00,0.00
0.7829,35459.09,0.00,0.00,40.00,16.67,25.00,0.00,0.00,0.00
1.0330,34707.31,0.00,0.00,20.00,16.67,25.00,0.00,0.00,50.00
1.2830,33370.91,0.00,0.00,20.00,0.00,100.00,0.00,0.00,0.00
1.5330,37464.02,0.00,0.00,20.00,16.67,0.00,0.00,0.00,0.00
1.7830,31700.58,0.00,0.00,20.00,50.00,100.00,0.00,0.00,0.00
2.0330,32786.27,0.00,0.00,0.00,0.00,50.00,0.00,0.00,0.00
2.2830,36043.83,0.00,0.00,40.00,33.33,125.00,0.00,0.00,0.00
2.5330,32619.24,0.00,0.00,20.00,33.33,25.00,0.00,0.00,0.00
2.7830,33203.87,0.00,0.00,80.00,16.67,75.00,0.00,0.00,0.00
3.0330,33872.04,0.00,0.00,20.00,50.00,0.00,0.00,0.00,0.00
3.2830,33203.87,0.00,0.00,0.00,33.33,125.00,0.00,0.00,0.00
3.5330,32452.20,0.00,0.00,40.00,16.67,25.00,0.00,0.00,0.00
3.7831,33705.00,0.00,0.00,40.00,50.00,100.00,0.00,0.00,0.00
4.0331,35960.30,0.00,0.00,20.00,16.67,50.00,0.00,0.00,0.00
4.2831,36962.76,0.00,0.00,20.00,50.00,25.00,0.00,0.00,0.00
4.5331,34039.10,0.00,0.00,20.00,50.00,75.00,0.00,0.00,0.00
4.7831,35542.62,0.00,0.00,0.00,66.67,75.00,0.00,0.00,0.00
5.0331,35041.43,0.00,0.00,20.00,0.00,50.00,0.00,0.00,0.00
5.2831,34790.84,0.00,0.00,20.00,33.33,25.00,0.00,0.00,0.00
5.5331,34456.73,0.00,0.00,20.00,0.00,25.00,50.00,0.00,0.00
5.7831,33955.57,0.00,0.00,20.00,0.00,0.00,50.00,0.00,0.00
6.0331,36127.37,0.00,0.00,0.00,16.67,75.00,0.00,0.00,0.00
6.2831,37798.20,0.00,0.00,20.00,0.00,25.00,50.00,0.00,1850.13
6.5332,58281.18,466023.50,0.00,1680.11,450.01,950.03,10904.57,1450.08,211411.38
6.7832,732958.98,17271371.09,200.00,12565.98,950.03,750.02,16961.06,2450.23,301570.31
7.0332,812011.88,28641492.96,0.00,15388.96,950.03,650.02,32189.81,3000.35,409781.30
7.2832,1387996.74,49409353.91,0.00,21797.98,1383.41,900.03,32741.18,3200.39,406273.34
7.5332,1269712.88,46711360.26,0.00,20495.89,1050.04,850.03,34896.78,4050.63,460182.18
7.7832,1294562.28,43726058.89,0.00,22839.74,1250.06,825.03,32991.81,3600.50,465362.40
8.0332,1143193.47,44641332.67,0.00,20555.99,1016.71,825.03,28681.61,3800.56,400549.12
8.2832,1414229.95,43510094.14,0.00,19995.13,1000.04,650.02,31137.25,4250.70,454279.15
8.5332,1245986.71,42505940.58,0.00,21517.52,1166.72,600.01,34395.44,3050.36,414735.25
8.7832,1193255.17,51582495.71,0.00,22278.78,1266.73,550.01,33342.71,2900.32,472099.76
9.0332,1322418.49,55878275.54,0.00,21577.61,1283.40,925.03,37253.31,2750.29,434414.84
9.2833,1410367.75,58295224.63,0.00,21557.58,1716.78,550.01,30836.53,3850.57,504227.20
9.5333,1322427.13,53658330.94,0.00,23080.15,1366.74,925.03,33894.13,3300.42,421033.64
9.7833,1365559.34,64222554.70,200.00,21497.48,1216.72,925.03,37353.59,3300.42,504071.29
10.0333,1242288.67,46613769.02,0.00,21217.03,1116.71,700.02,35047.18,2700.28,417367.82
10.2833,1390823.47,57078579.52,0.00,21477.45,1533.42,525.01,32590.81,2350.21,443981.15
10.5333,1268771.09,47120685.50,0.00,23240.43,1383.41,575.01,38256.21,2950.34,479670.41
10.7833,1523296.02,50376156.33,200.00,23340.61,1533.42,650.02,34595.97,3100.37,465051.51
11.0333,1393709.32,56405347.97,0.00,23180.33,1166.72,700.02,33292.58,2950.34,467694.19
11.2833,1465466.72,50910801.47,200.00,19574.50,1550.09,625.01,34595.97,3000.35,454072.07
11.5333,1188243.82,56351940.39,0.00,21617.68,1366.74,425.01,36350.75,2800.30,411071.19
11.7833,1393717.96,46643832.13,200.00,22038.37,1183.39,750.02,39008.44,3250.41,484495.12
12.0334,1534450.60,61001815.87,0.00,25183.99,1366.74,400.01,35297.86,3650.51,469870.85
12.2834,1514707.59,64566686.25,0.00,24763.20,1400.07,750.02,29082.50,2500.24,391838.70
12.5334,1197583.94,47820791.65,0.00,21657.75,1200.05,700.02,32791.31,3250.41,472514.50
12.7834,1466132.02,49301570.82,0.00,25564.72,1366.74,550.01,34395.44,3450.46,446981.74
13.0334,1239454.67,65926415.84,0.00,21337.22,1033.37,800.02,31889.07,3850.57,448844.53
13.2834,1434137.12,55644147.65,0.00,21056.77,1183.39,825.03,33844.00,3000.35,361423.19
13.5334,1373897.19,42520573.58,0.00,19073.77,1150.05,775.02,29934.43,2900.32,358801.78
13.7834,1412441.41,43951646.12,0.00,22919.87,1250.06,750.02,33844.00,3100.37,407975.59
14.0334,1185150.60,49502390.14,200.00,19814.85,1233.39,650.02,34245.05,3250.41,406221.75
14.2834,1342118.30,60937134.63,0.00,23260.47,1266.73,675.02,33392.84,3250.41,429350.10
14.5334,1143392.20,51389192.16,0.00,18613.11,1050.04,575.01,32640.93,2350.21,373200.20
14.7835,1119484.59,49379006.11,0.00,18673.19,800.02,675.02,29784.08,3150.38,387099.32
15.0335,1332363.44,48169307.41,0.00,21377.29,1283.40,475.01,34345.31,3200.39,459664.26
15.2835,1200720.36,55458872.32,0.00,22619.36,1116.71,550.01,32089.56,2450.23,385811.74
15.5335,1175991.92,51054796.96,0.00,20716.24,1033.37,650.02,35398.13,3000.35,414993.36
15.7835,1310555.41,48778142.40,0.00,19474.35,900.03,700.02,32340.18,3350.43,372582.81
16.0335,1190896.38,44418364.58,0.00,20956.62,983.37,625.01,32440.43,3200.39,396837.48
16.2835,1352944.55,51942171.26,0.00,21737.88,1000.04,725.02,31788.82,3050.36,410194.04
16.5335,1228196.40,43877797.90,0.00,18773.33,1200.05,575.01,33543.22,2250.20,363428.13
16.7835,1089070.85,62155373.99,0.00,17371.42,1033.37,500.01,28781.83,2850.31,370833.64
17.0335,1268157.63,41029602.56,0.00,20535.96,1416.74,900.03,32290.05,2500.24,375875.93
17.2836,1247637.00,49620934.47,0.00,20596.05,1133.38,650.02,31889.07,2500.24,371965.43
17.5336,1241873.94,44607625.54,0.00,20555.99,1083.38,750.02,27078.17,2650.27,353406.47
17.7836,1111984.84,45635522.12,0.00,22098.48,1150.05,625.01,32089.56,2550.25,390138.50
18.0336,1266299.97,52031107.97,0.00,19955.07,1033.37,725.02,28982.27,2900.32,356489.23
18.2836,1189660.82,54319263.94,0.00,19434.29,816.69,600.01,31087.13,2850.31,364559.25
18.5336,1193730.38,40560378.84,0.00,20475.86,1250.06,825.03,30736.30,2450.23,400910.03
18.7836,1358379.28,56330019.37,0.00,20876.49,1283.40,925.03,28180.51,2350.21,337028.52
19.0336,1126517.76,38472643.62,0.00,19213.97,966.70,500.01,28080.29,2750.29,346421.51
19.2836,1064333.77,40987240.90,0.00,18693.22,1016.71,625.01,32039.43,2550.25,375464.23
19.5336,1075998.13,51344097.49,0.00,20075.25,1483.42,550.01,32139.68,2950.34,369290.50
19.7836,1100787.05,43071275.16,200.00,19554.47,866.70,575.01,27879.86,2100.17,338413.94
20.0336,1133084.36,44110103.78,0.00,17291.31,1083.38,450.01,26076.13,2200.19,351762.62
20.2837,1119640.11,40905079.77,0.00,19915.01,1200.05,600.01,27529.12,2300.20,317801.54
20.5337,1157717.76,41241467.80,200.00,18132.44,1116.71,550.01,27980.08,1600.10,352584.52
20.7837,1143815.57,45312172.84,0.00,17291.31,883.36,500.01,27879.86,2100.17,333693.82
21.0337,1090565.62,46930058.03,0.00,17852.06,1016.71,375.01,29333.06,2500.24,341390.55
21.2837,1233950.82,44981934.09,0.00,18392.80,1216.72,525.01,29884.31,2400.22,372016.87
21.5337,1239584.27,41939751.94,0.00,21096.84,1100.05,525.01,30235.12,3000.35,377471.31
21.7837,1255750.21,44059372.28,0.00,20015.16,1250.06,625.01,28982.27,2200.19,349554.00
22.0337,1093693.40,46393590.87,0.00,19053.74,1016.71,425.01,27980.08,1850.13,319646.12
22.2837,1059555.71,36090882.04,0.00,17771.95,1116.71,525.01,27579.23,2600.26,317084.30
22.5337,1037315.67,38796903.91,0.00,17171.16,783.36,575.01,27278.59,2350.21,321285.94
22.7837,1050172.38,40128790.96,200.00,17952.19,916.70,625.01,24823.68,1850.13,340158.76
23.0338,1032874.57,41709837.45,0.00,17431.50,1116.71,700.02,29483.40,2800.30,355204.66
23.2838,1187461.43,47664440.68,0.00,18773.33,1116.71,500.01,26777.55,2400.22,296300.78
23.5338,1023275.24,46021616.77,0.00,17071.03,1050.04,575.01,26727.45,2450.23,336464.14
23.7838,1086909.91,42284794.50,0.00,17311.34,1000.04,575.01,28681.61,2750.29,331129.25
24.0338,1161329.39,49550502.51,0.00,18753.31,1066.71,750.02,25875.73,2050.16,302593.80
24.2838,1079583.84,34173390.59,0.00,16510.31,916.70,400.01,27879.86,2650.27,322823.49
24.5338,1042724.47,49056909.45,0.00,20115.31,1166.72,550.01,27128.28,2400.22,287148.07
24.7838,1019378.48,33810640.41,200.00,16830.72,883.36,575.01,24723.49,2200.19,284899.22
25.0338,982920.33,37709336.61,0.00,15729.36,1016.71,700.02,21918.46,2150.18,295277.81
25.2838,980429.69,36397206.95,0.00,17351.39,1016.71,525.01,26176.33,2050.16,283774.93
25.5338,963006.43,37727271.99,0.00,16730.59,850.03,475.01,24072.27,1850.13,283826.03
25.7838,975271.81,38541993.76,0.00,18292.66,883.36,475.01,25575.13,2400.22,306278.88
26.0339,1149284.10,49384130.51,0.00,18633.14,1050.04,700.02,28280.73,2100.17,285614.72
26.2839,1063063.66,37777946.56,0.00,17030.98,1183.39,475.01,21918.46,2550.25,288783.84
26.5339,1014228.88,38035988.28,0.00,16149.87,916.70,475.01,26276.53,2000.15,303054.37
26.7839,1142361.08,37110978.16,0.00,17010.95,666.68,700.02,24322.73,2550.25,297835.38
27.0339,1030947.79,36866032.10,0.00,16209.94,1050.04,625.01,25825.63,2050.16,312269.41
27.2839,1021934.08,35654739.14,0.00,17812.01,566.68,575.01,22619.66,1800.12,260391.38
27.5339,892096.76,33346427.21,200.00,15789.43,933.37,650.02,23921.99,1800.12,269831.67
27.7839,956522.30,37182434.99,0.00,16229.97,816.69,625.01,22218.97,2150.18,270188.99
28.0339,945958.09,35846676.18,0.00,15769.41,733.35,400.01,23370.99,1500.09,256668.16
28.2839,949330.73,34787748.55,0.00,15128.66,950.03,600.01,25424.84,2050.16,282037.60
28.5339,987101.97,37895352.13,0.00,16470.26,850.03,375.01,23821.81,1700.11,282088.70
28.7840,1032372.40,35654112.83,0.00,15408.99,816.69,700.02,23120.54,2200.19,271056.86
29.0340,970204.51,29738341.11,0.00,16370.14,800.02,400.01,23921.99,2200.19,257841.11
29.2840,939037.60,34349783.64,0.00,15749.39,733.35,600.01,20616.34,2150.18,244027.32
29.5340,882637.53,32162179.67,0.00,14367.81,816.69,650.02,22469.40,1750.12,259728.25
29.7840,915194.91,38799750.80,0.00,15889.55,983.37,325.00,19114.04,1800.12,241887.74
30.0340,868062.34,32734460.65,0.00,15669.29,833.36,550.01,19765.01,2250.20,250499.12


          Printed:2024-03-05 18:36:02
