Cites	Authors	Title	Year	Source	Publisher	ArticleURL	CitesURL	GSRank	QueryDate	ECC	CitesPerYear	CitesPerAuthor	AuthorCount	Age	Abstract	FullTextURL	RelatedURL	(name,MSWD,type,n,df)	comment
41	C Wang, S Song, C Wei, L Su, MB Allen, Y Niu…	Palaeoarchaean deep mantle heterogeneity recorded by enriched plume remnants	2019	… Geoscience	nature.com	https://www.nature.com/articles/s41561-019-0410-y	https://scholar.google.com/scholar?cites=11783475727453224113&as_sdt=2005&sciodt=0,5&hl=en	1	2024-10-15 11:01:35	41	8.2	6	7	5	… deviation (MSWD) of 1.9 (Fig. 2b), which is in accordance with the concordia age (3,451 ± 3 Ma, MSWD = 0.36) and weighted mean 207 Pb– 206 Pb age (3,454 ± 4 Ma, MSWD = 8.1) of …	https://www.nature.com/articles/s41561-019-0410-y	https://scholar.google.com/scholar?q=related:sXxJGr5Qh6MJ:scholar.google.com/&scioq=source:%22nature%22%7Csource:%22nature+geoscience%22+mswd&hl=en&as_sdt=0,5&as_vis=1	(J14-46c meta,3.9,discordia,17,15),(J14-46c mag,1.9,discordia,28,26),(J14-46c mag,0.36,concordia,13,1),(J14-46c mag,8.1,U-Pb average,13,12)	U-Pb, not clear how the concordia MSWD was calculated, made the conservative assumption that it has 1 degree of freedom
43	H Drake, NMW Roberts, C Heim…	Timing and origin of natural gas accumulation in the Siljan impact structure, Sweden	2019	Nature …	nature.com	https://www.nature.com/articles/s41467-019-12728-y	https://scholar.google.com/scholar?cites=14673063993509705101&as_sdt=2005&sciodt=0,5&hl=en	2	2024-10-15 11:01:35	43	8.6	11	4	5	Fractured rocks of impact craters may be suitable hosts for deep microbial communities on Earth and potentially other terrestrial planets, yet direct evidence remains elusive. Here, we …	https://www.nature.com/articles/s41467-019-12728-y	https://scholar.google.com/scholar?q=related:jXW4-_UxocsJ:scholar.google.com/&scioq=source:%22nature%22%7Csource:%22nature+geoscience%22+mswd&hl=en&as_sdt=0,5&as_vis=1	(CC1:537,2.1,discordia,8,6),(VM1:255 younger,0.92,discordia,10,8),(VM1:255 older,0.079,discordia,3,1),(VM1:442,2.1,discordia,16,14),(VM2:170 B+C+D+F,3,discordia,31,19),(VM2:170 A+E+G,10.8,discordia,21,19),(VM2:212,1.2,discordia,46,44),(Duff,4.0,discordia,58,56)	U-Pb
86	AV Sobolev, EV Asafov, AA Gurenko, NT Arndt…	Deep hydrous mantle reservoir provides evidence for crustal recycling before 3.3 billion years ago	2019	Nature	nature.com	https://www.nature.com/articles/s41586-019-1399-5	https://scholar.google.com/scholar?cites=6748591061663306119&as_sdt=2005&sciodt=0,5&hl=en	3	2024-10-15 11:01:35	86	17.2	17	5	5	… MSWD values are lower than or equal to the critical MSWD crit values calculated at 95% confidence level and f degrees of freedom as MSWD crit … , MSWD <MSWD crit indicates that the …	https://www.nature.com/articles/s41586-019-1399-5	https://scholar.google.com/scholar?q=related:h1HRpNDPp10J:scholar.google.com/&scioq=source:%22nature%22%7Csource:%22nature+geoscience%22+mswd&hl=en&as_sdt=0,5&as_vis=1	(Weltevreden,4.7,O regression,23,21),(Weltevreden,2.0,O-regression,20,18)	O-isotopes
2	H Gamaleldien, LG Wu, HKH Olierook, CL Kirkland…	Onset of the Earth's hydrological cycle four billion years ago or earlier	2024	… Geoscience	nature.com	https://www.nature.com/articles/s41561-024-01450-0	https://scholar.google.com/scholar?cites=8810076633298586475&as_sdt=2005&sciodt=0,5&hl=en	4	2024-10-15 11:01:35	2	2	0	5	1	… of 8.18 ± 0.18‰ (MSWD = 0.95), which is consistent within error of the recommended value (8.19 ± 0.14‰) 72 and MudTank yielded a weighted mean of 5.04 ± 0.06‰ (MSWD = 0.88), …	https://www.nature.com/articles/s41561-024-01450-0	https://scholar.google.com/scholar?q=related:a0u7KwWuQ3oJ:scholar.google.com/&scioq=source:%22nature%22%7Csource:%22nature+geoscience%22+mswd&hl=en&as_sdt=0,5&as_vis=1	(Plesovice,0.47,U-Pb average,59,58),(Temora2,0.72,U-Pb average,44,43),(OGC,1.3,U-Pb average,28,27),(91500,0.77,U-Pb average,13,12),(Plesovice,2.0,concordia,59,1),(91500,1.2,concordia,13,1),(Plesovice oxygen,0.95,O average,14,13),(Mud Tank oxygen,0.88,O average,71,70)	U-Pb and O-isotopes, concordia ages are assumed to have 1 degree of freedom, which is a conservative assumption
85	SE Mazza, E Gazel, M Bizimis, R Moucha, P Béguelin…	Sampling the volatile-rich transition zone beneath Bermuda	2019	Nature	nature.com	https://www.nature.com/articles/s41586-019-1183-6	https://scholar.google.com/scholar?cites=5752868452284195438&as_sdt=2005&sciodt=0,5&hl=en	5	2024-10-15 11:01:35	85	17	14	6	5	Intraplate magmatic provinces found away from plate boundaries provide direct sampling of the composition and heterogeneity of the Earth’s mantle. The chemical heterogeneities that …	https://www.nature.com/articles/s41586-019-1183-6	https://scholar.google.com/scholar?q=related:bmLzmWBL1k8J:scholar.google.com/&scioq=source:%22nature%22%7Csource:%22nature+geoscience%22+mswd&hl=en&as_sdt=0,5&as_vis=1	(B-1908,1.51,plateau,5,4),(B-703,0.87,plateau,4,3),(B-1641,1.08,plateau,5,4),(B-1036,13,plateau,7,6)	Ar-Ar
39	F Sun, W Hu, J Cao, X Wang, Z Zhang…	Sustained and intensified lacustrine methane cycling during Early Permian climate warming	2022	Nature …	nature.com	https://www.nature.com/articles/s41467-022-32438-2	https://scholar.google.com/scholar?cites=4646481314169773794&as_sdt=2005&sciodt=0,5&hl=en	6	2024-10-15 11:01:35	39	19.5	7	6	2	Lakes are a major emitter of the atmospheric greenhouse gas methane (CH 4 ); however, their roles in past climate warming episodes remain poorly understood owing to a scarcity of …	https://www.nature.com/articles/s41467-022-32438-2	https://scholar.google.com/scholar?q=related:4l6UGiOee0AJ:scholar.google.com/&scioq=source:%22nature%22%7Csource:%22nature+geoscience%22+mswd&hl=en&as_sdt=0,5&as_vis=1	(Lucaogou LA-ICP-MS,1.01,U-Pb average,53,52),(Lucaogou CA-ID-TIMS,2.0,U-Pb average,3,2),(Jingjingzigou LA-ICP-MS,1.5,U-Pb average,13,12),(GJ1,1.5,U-Pb average,15,14)	U-Pb
67	M Rioux, C Johan Lissenberg, NM McLean…	Protracted timescales of lower crustal growth at the fast-spreading East Pacific Rise	2012	… Geoscience	nature.com	https://www.nature.com/articles/ngeo1378	https://scholar.google.com/scholar?cites=4888225024614992606&as_sdt=2005&sciodt=0,5&hl=en	7	2024-10-15 11:01:35	67	5.58	17	4	12	… Conversely, if the two-sided p-value for the chi-squared goodness of fit is ≤0.05 (that is, MSWD≫1), we reject the null hypothesis, suggesting resolvable scatter in the crystallization …	https://www.nature.com/articles/ngeo1378	https://scholar.google.com/scholar?q=related:3gpazsJ21kMJ:scholar.google.com/&scioq=source:%22nature%22%7Csource:%22nature+geoscience%22+mswd&hl=en&as_sdt=0,5&as_vis=1	(JC21-76R-4,0.8,U-Pb average,9,8),(JC21-78R-1,2.3,U-Pb average,15,14),(JC21-76R-2,1.0,U-Pb average,16,15),(JC21-78R-5,4.0,U-Pb average,14,13)	U-Pb
0	J Toma, RA Creaser, C Card, D Pana, A Dufrane…	Nuna supercontinent assembly linked to carbon cycling in shear zones 1.9–1.7 billion years ago	2024	Nature Geoscience	nature.com	https://www.nature.com/articles/s41561-024-01519-w		8	2024-10-15 11:01:35	0	0	0	6	1	A peak in organic carbon burial approximately 2.1–1.8 billion years ago led to the prolific growth of graphite-rich orogens internal to the supercontinent Nuna. The temporal history of …	https://www.nature.com/articles/s41561-024-01519-w	https://scholar.google.com/scholar?q=related:xqGDAFwDMLIJ:scholar.google.com/&scioq=source:%22nature%22%7Csource:%22nature+geoscience%22+mswd&hl=en&as_sdt=0,5&as_vis=1	(44069 AS-1,1.8,discordia,12,10),(44069 AS-2,0.61,discordia,16,14),(TG09 AS-2,0.92,concordia,16,1),(TG09 AS-2,0.92,discordia,16,14),(TG09 AS-3,2.4,concordia,7,1),(FC1,2.0,concordia,25,23),(OG1,0.26,concordia,6,1),(3576 py,0.65,Re-Os isochron,5,3),(DP19-844-py-gr,5.8,Re-Os isochron,9,7),(Early Pyrite,0.55,Re-Os isochron,4,3),(Late Pyrite,1.2,Re-Os isochron,5,3),(Mnz-1,1.59,U-Pb average,6,5),(DP19-843-py,0.73,Re-Os isochron,6,4),(DP19-843-gr,0.48,Re-Os isochron,4,2),(DP19-843 monazite,1.4,U-Pb average,12,11),(Zr-1,0.21,average,3,2),(PLS14-133-py,2.67,Re-Os isochron,8,6),(PL13-260-py-gr,0.95,Re-Os isochron,5,3),( PLS14-260-97.5,1.75,Pb-Pb average,7,6),(Zone 1 and 2 monazite,0.02,U-Pb average,5,4),(Zone 2 monazite, 0.1,U-Pb average,2,1),(zone 1 monazite cores,1.7,U-Pb average,25,24),(Zone 2 monazite rims,1.7,U-Pb average,9,8),(JT20-9,1.5,Pb-Pb average,30,29),(JT20-10-py,28,Re-Os isochron,7,5),(NM-0.48-0.91,0.13,Pb-Pb average,2,1),(BULK-py-M-0.07,0.43,Pb-Pb average,2,1),(JT20-11-gr,3.8,Re-Os isochron,5,3),(JT20-11,0.4,Pb-Pb isochron,17,16)	U-Pb and Re-Os
190	O Laurent, J Björnsen, JF Wotzlaw, S Bretscher…	Earth's earliest granitoids are crystal-rich magma reservoirs tapped by silicic eruptions	2020	… Geoscience	nature.com	https://www.nature.com/articles/s41561-019-0520-6	https://scholar.google.com/scholar?cites=4793082730189095147&as_sdt=2005&sciodt=0,5&hl=en	9	2024-10-15 11:01:35	190	47.5	38	5	4	Granitoids of the tonalite–trondhjemite–granodiorite (TTG) series dominate Earth’s earliest continental crust. The geochemical diversity of TTGs is ascribed to several possible …	https://www.nature.com/articles/s41561-019-0520-6	https://scholar.google.com/scholar?q=related:6wD7J1lzhEIJ:scholar.google.com/&scioq=source:%22nature%22%7Csource:%22nature+geoscience%22+mswd&hl=en&as_sdt=0,5&as_vis=1	(F2,1.2,U-Pb average,5,4),(C2a,1.5,U-Pb average,7,6),(C2d,1.3,U-Pb average,5,4)	U-Pb: weighted means with automated outlier rejection
2	Y Hou, P Zhao, H Qin, RN Mitchell, Q Li, W Hao…	Completing the loop of the Late Jurassic–Early Cretaceous true polar wander event	2024	Nature …	nature.com	https://www.nature.com/articles/s41467-024-46466-7	https://scholar.google.com/scholar?cites=17447266706125699879&as_sdt=2005&sciodt=0,5&hl=en	10	2024-10-15 11:01:35	2	2	0	7	1	The reorientation of Earth through rotation of its solid shell relative to its spin axis is known as True polar wander (TPW). It is well-documented at present, but the occurrence of TPW in …	https://www.nature.com/articles/s41467-024-46466-7	https://scholar.google.com/scholar?q=related:JzsfMKEkIfIJ:scholar.google.com/&scioq=source:%22nature%22%7Csource:%22nature+geoscience%22+mswd&hl=en&as_sdt=0,5&as_vis=1	(TCZ-TA1,0.9,concordia,28,26),(TCZ-TB1,1.6,concordia,23,31),(TJS-TC1,0.3,concordia,8,6),(TCZ-MS2,0.03,U-Pb average,3,2)	U-Pb
