gts2020_id,ref,age_type,comment,MSWD,df,comment
Pg36,Sahy et al. (2017),206Pb/238U,wtd mean,0.29,4,
Pg35,Sahy et al. (2017),206Pb/238U,wtd mean,0.7,5,
Pg34,Sahy et al. (2017),206Pb/238U,wtd mean,0.45,3,
Pg33,Sahy et al. (2017),206Pb/238U,wtd mean,0.49,2,
Pg32,Sahy et al. (2017),206Pb/238U,wtd mean,1.58,2,
Pg31,Sahy et al. (2017),206Pb/238U,wtd mean,0.41,6,
Pg30,Sahy et al. (2017),206Pb/238U,wtd mean,0.93,6,
Pg29,Sahy et al. (2017),206Pb/238U,wtd mean,1.05,4,
Pg28,Sahy et al. (2017),206Pb/238U,wtd mean,1.09,5,
Pg27,Sahy et al. (2017),206Pb/238U,wtd mean,0.86,5,
Pg26,Walsh et al. (1996),40Ar/39Ar,,,,No data available
Pg25,Berggren et al. (1995),40Ar/39Ar,,,,Paywall
Pg24,Hiza (1999),40Ar/39Ar,,,,Unpublished PhD thesis
Pg23,Smith et al. (2008),40Ar/39Ar,wtd mean,0.29,11,
Pg22,Machlus et al. (2015),206Pb/238U,wtd mean,0.59,5,
Pg21,Smith et al. (2004),40Ar/39Ar,wtd mean,0.74,15,
Pg20,Storey et al. (2007),40Ar/39Ar,wtd mean,0.72,37,No MSWD reported in original publication. Calculated from tabulated dates.
Pg19,Charles et al. (2011),206Pb/238U,wtd mean,0.45,4,No MSWD reported in original publication. Calculated from tabulated dates.
Pg18,Secord et al. (2006),40Ar/39Ar,wtd mean,0.36,22,
Pg17,Clyde et al. (2016),206Pb/238U,wtd mean,0.73,7,No MSWD reported in original publication. Calculated from tabulated dates.
Pg16,Clyde et al. (2016),206Pb/238U,wtd mean,0.54,5,No MSWD reported in original publication. Calculated from tabulated dates.
Pg15,Sprain et al. (2015),40Ar/39Ar,wtd mean,0.86,172,No MSWD reported in original publication. Calculated from tabulated dates.
Pg14,Sprain et al. (2015),40Ar/39Ar,wtd mean,1.2,174,No MSWD reported in original publication. Calculated from tabulated dates.
Pg13,Sprain et al. (2015),40Ar/39Ar,wtd mean,0.94,67,No MSWD reported in original publication. Calculated from tabulated dates.
Pg12,Sprain et al. (2015),40Ar/39Ar,wtd mean,1.3,51,No MSWD reported in original publication. Calculated from tabulated dates.
Pg11,Sprain et al. (2018),40Ar/39Ar,wtd mean,0.063,1,No MSWD reported in original publication. Calculated from tabulated dates.
Pg10,Clyde et al. (2016),206Pb/238U,wtd mean,0.93,7,
Pg9,Renne et al. (2013),40Ar/39Ar,,,,Unclear how the calculation was done.
Pg8,Sprain et al. (2018),40Ar/39Ar,wtd mean,0.45,4,No MSWD reported in original publication. Calculated from tabulated dates.
Pg7,Sprain et al. (2018),40Ar/39Ar,wtd mean,0.48,10,No MSWD reported in original publication. Calculated from tabulated dates.
Pg6,Renne et al. (2013),40Ar/39Ar,wtd mean,0.31,13,No MSWD reported in original publication. Calculated from tabulated dates.
Pg5,Dalrymple et al. (1993),40Ar/39Ar,wtd mean,0.86,51,No MSWD reported in original publication. Calculated from tabulated dates.
Pg4,Swisher et al. (1992),40Ar/39Ar,wtd mean,,,Paper contains insufficient data to calculate an MSWD
Pg3,Swisher et al. (1992),40Ar/39Ar,wtd mean,,,Paper contains insufficient data to calculate an MSWD
Pg2,Clyde et al. (2016),206Pb/238U,wtd mean,1.1,10,
Pg1,Clyde et al. (2016),206Pb/238U,wtd mean,0.94,4,
K88,Clyde et al. (2016),206Pb/238U,wtd mean,0.78,11,
K87,Sprain et al. (2015),40Ar/39Ar,wtd mean,1,53,No MSWD reported in original publication. Calculated from tabulated dates.
K86,Sprain et al. (2018),40Ar/39Ar,wtd mean,0.779,53,
K85,Clyde et al. (2016),206Pb/238U,wtd mean,0.58,5,
K84,Obradovich (1993),40Ar/39Ar,,,,No analytical data published
K83,Hicks et al. (1999),40Ar/39Ar,wtd mean,0.87,4,No MSWD reported in original publication. Calculated from tabulated dates.
K82,Hicks et al. (1999),40Ar/39Ar,wtd mean,0.23,3,No MSWD reported in original publication. Calculated from tabulated dates.
K81,Baadsgaard et al. (1993),40Ar/39Ar,,,,Paywall
K80,Hicks et al. (1999),40Ar/39Ar,wtd mean,0.37,4,No MSWD reported in original publication. Calculated from tabulated dates.
K79,Hicks et al. (1999),40Ar/39Ar,wtd mean,1.1,5,No MSWD reported in original publication. Calculated from tabulated dates.
K78,Obradovich (1993),40Ar/39Ar,,,,No analytical data published
K77,Hicks et al. (1999),40Ar/39Ar,wtd mean,0.72,4,No MSWD reported in original publication. Calculated from tabulated dates.
