No	code	mount	method	irradiation	date	reactor	glass	mineral	crystals	Ns	rho_s	Ni	rho_i	Nd	rho_d	phi	se(phi)	P-value	t	se(t)		Uppm	se(U)	ref
1	FC3	920327-1	ED	1	7/5/1992	OSU	SRM612	apatite	36	669	2.21	1914	6.327	5090	53.02	28.9	0.51	41	28.7	1.7		14.5	0.4	[2]
2	FC3	930301-1	ED	1	21/4/1993	OSU	SRM612	apatite	30	539	2.11	1594	6.239	5057	52.68	28.71	0.51	59	27.6	1.7		14.4	0.4	[2]
3	FC3	930301-2	ED	1	21/4/1993	OSU	SRM612	apatite	30	621	2.39	1693	6.507	5057	52.68	28.71	0.51	85	29.9	1.8		15	0.4	[2]
4	FC3	930301-3	ED	1	19/12/1993	OSU	SRM612	apatite	28	572	2.29	1478	5.921	5072	52.83	28.79	0.51	18	31.7	2		13.7	0.4	[2]
5	FC3	931205-1	ED	1	19/12/1993	OSU	SRM612	apatite	30	656	2.4	1746	6.389	5072	52.83	28.79	0.51	15	30.7	1.8		14.7	0.4	[2]
6	FC3	941125-2	ED	1	19/12/1994	OSU	SRM612	apatite	30	377	2.26	941	5.648	5068	52.79	28.77	0.51	12	32.8	2.4		13	0.5	[2]
7	FC3	950116-1	ED	1	3/2/1995	OSU	SRM612	apatite	30	476	2.09	1407	6.168	4972	51.79	28.23	0.5	40	27.1	1.8		14.5	0.4	[2]
8	FC3	950903-1	ED	1	19/9/1995	OSU	SRM612	apatite	30	449	2.14	1204	5.744	4987	51.95	28.31	0.51	4	30	2		13.5	0.4	[5]
9	FC3	960719-1	ED	1	19/8/1996	OSU	SRM612	apatite	30	385	2.26	1351	7.942	5887	61.32	33.42	0.57	85	27.1	1.9		15.8	0.5	[5]
10	FC3	961221-1	ED	1	15/1/1997	OSU	SRM612	apatite	30	573	2.23	1881	7.325	5505	57.34	31.25	0.54	0	27.1	1.7		15.6	0.4	[5]
11	87KN	971107-1	ED	1	17/12/1997	OSU	SRM612	apatite	30	575	2.07	1648	5.937	5130	53.44	29.12	0.52	13	28.9	1.8		13.5	0.4	[5]
12	87KN	980401-1	ED	1	7/5/1998	OSU	SRM612	apatite	30	469	1.85	1495	5.895	5194	54.1	29.49	0.52	80	26.3	1.7		13.3	0.4	[5]
13	87KN	980608-1	ED	1	17/11/1998	OSU	SRM612	apatite	30	549	2.23	1488	6.034	4839	50.41	27.47	0.5	83	28.8	1.8		14.6	0.4	[5]
14	FC3	000104-1	ED	1	20/1/2000	OSU	SRM612	apatite	30	459	1.9	1248	5.178	4761	49.59	27.03	0.49	44	28.3	1.9		12.7	0.4	[5]
15	FC3	010807-1	ED	1	30/8/2001	OSU	SRM612	apatite	30	360	2.09	1147	6.653	4991	51.99	28.33	0.51	47	25.3	1.8		15.6	0.5	[5]
16	FC3	010807-2	ED	1	30/8/2001	OSU	SRM612	apatite	30	410	2.27	1130	6.253	5000	52.08	28.39	0.51	97	29.3	2		14.6	0.5	[5]
22	DR1	920327-1	ED	1	7/5/1992	OSU	SRM612	apatite	56	1145	2.13	3190	5.934	5102	53.15	28.97	0.51	6	29.5	1.5		13.6	0.3	[2]
23	DR1	930301-123	ED	1	21/4/1993	OSU	SRM612	apatite	31	650	2.18	1807	6.072	5066	52.77	28.76	0.51	91	29.4	1.8		14	0.4	[2]
24	DR2	931205-1	ED	1	19/12/1993	OSU	SRM612	apatite	43	717	1.74	1900	4.603	5085	52.97	28.87	0.51	73	31	1.8		10.6	0.3	[2]
25	DR2	931205-2	ED	1	19/12/1993	OSU	SRM612	apatite	45	678	1.57	1731	4.007	5085	52.97	28.87	0.51	37	32.1	1.9		9.2	0.3	[2]
26	DR2	941126-1	ED	1	19/12/1994	OSU	SRM612	apatite	50	805	1.68	1823	3.798	5000	52.08	28.39	0.51	94	35.6	2		8.9	0.2	[5]
27	DR3	950904-1	ED	1	19/8/1996	OSU	SRM612	apatite	50	791	1.65	2086	4.346	5652	58.88	32.09	0.55	98	34.6	2		9	0.2	[2]
28	DR3	950904-2	ED	1	19/8/1996	OSU	SRM612	apatite	50	701	1.46	2014	4.196	5769	60.09	32.75	0.56	68	32.4	1.9		8.5	0.2	[2]
29	DR3	980401-1	ED	1	7/5/1998	OSU	SRM612	apatite	40	539	1.4	1381	3.596	5209	54.26	29.57	0.52	98	32.8	2.1		8.1	0.2	[5]
35	MDC	930301-1	ED	1	21/4/1993	OSU	SRM612	apatite	23	1013	10.35	838	8.56	5049	52.59	28.66	0.51	44	98.5	6		19.8	0.7	[2]
36	MDC	930301-2	ED	1	21/4/1993	OSU	SRM612	apatite	30	1626	9.43	1291	7.488	5049	52.59	28.66	0.51	34	102.6	5.5		17.3	0.5	[2]
37	MDC	931205-1	ED	1	19/12/1993	OSU	SRM612	apatite	30	1563	9.3	1214	7.226	5059	52.7	28.72	0.51	56	105.1	5.7		16.7	0.5	[2]
38	MDC	941126-1	ED	1	19/12/1994	OSU	SRM612	apatite	30	1561	9.56	1236	7.574	5092	53.04	28.91	0.51	26	103.8	5.6		17.4	0.6	[2]
39	FC3	920319-1	ED	1	7/5/1992	OSU	SRM612	titanite	19	1101	9.14	3314	27.52	5019	52.28	28.49	0.51	10	28.8	1.5		68	2	[2]
40	FC3	921127-1	ED	1	21/4/1993	OSU	SRM612	titanite	8	439	9.18	1306	27.32	4903	51.07	27.84	0.5	9	28.4	1.9		69	2	[2]
41	FC3	921127-2	ED	1	21/4/1993	OSU	SRM612	titanite	9	444	9.01	1318	26.73	4903	51.07	27.84	0.5	8	28.5	1.9		68	2	[2]
42	FC3	921127-3	ED	1	21/4/1993	OSU	SRM612	titanite	9	359	9.86	1080	29.67	4903	51.07	27.84	0.5	28	28.1	2		75	3	[2]
43	FC3	941125-1	ED	1	19/12/1994	OSU	SRM612	titanite	15	732	8.99	2003	24.61	4994	52.02	28.35	0.51	33	31.5	1.8		61	2	[2]
44	FC3	941125-2	ED	1	19/12/1994	OSU	SRM612	titanite	11	814	9.19	2136	24.11	4994	52.02	28.35	0.51	56	32.8	1.8		60	2	[5]
45	FC3	950117-1	ED	1	3/2/1995	OSU	SRM612	titanite	12	686	8.31	2103	25.46	4898	51.02	27.81	0.5	24	27.6	1.6		64	2	[5]
46	FC3	950117-2	ED	1	3/2/1995	OSU	SRM612	titanite	8	396	9.02	1125	25.63	4898	51.02	27.81	0.5	46	29.7	2.1		65	2	[5]
47	FC3	960719-1	ED	1	19/8/1996	OSU	SRM612	titanite	13	886	8.36	495	4.67	4456	9.283	5.06	0.094	5	27.5	1.9		65	3	[5]
48	FC3	960719-2	ED	1	19/8/1996	OSU	SRM612	titanite	12	789	8.54	429	4.643	4465	9.302	5.07	0.094	63	28.3	2		64	3	[5]
49	FC3	000104-1	ED	1	20/1/2000	OSU	SRM612	titanite	28	1548	9.02	4119	24	4784	49.83	27.16	0.49	30	31	1.5		62	1	[5]
50	FC3	010314-1	ED	1	30/8/2001	OSU	SRM612	titanite	6	269	8.15	860	26.06	5009	52.18	28.44	0.51	36	27	2.1		65	2	[5]
51	FC3	010808-1	ED	1	30/8/2001	OSU	SRM612	titanite	19	1235	8.92	3869	27.94	5109	53.22	29	0.51	61	28.1	1.4		68	1	[5]
52	MDC	921127-1	ED	1	21/4/1993	OSU	SRM612	titanite	7	1376	49.5	1207	43.42	4912	51.17	27.89	0.5	73	96.6	5.2		110	4	[2]
53	MDC	921127-2	ED	1	21/4/1993	OSU	SRM612	titanite	6	1098	57.49	977	51.15	4912	51.17	27.89	0.5	40	95.2	5.5		129	5	[2]
54	MDC	921127-3	ED	1	21/4/1993	OSU	SRM612	titanite	5	1119	49.73	955	42.44	4912	51.17	27.89	0.5	10	99.3	5.7		107	4	[2]
55	MDC	931206-1	ED	1	19/12/1993	OSU	SRM612	titanite	10	2924	51.66	2456	43.39	5007	52.16	28.43	0.51	4	102.8	4.7		107	3	[2]
56	MDC	941126-1	ED	1	19/12/1994	OSU	SRM612	titanite	7	1995	57.16	1577	45.19	5019	52.28	28.49	0.51	43	109.5	5.5		112	3	[2]
57	BMT89	910826-1	ED	1	18/1/1993	RSR	SRM612	zircon	30	1509	10.29	1250	8.527	3059	7.283	3.826	0.081	33	16.1	0.7		119	4	[1]
58	BMT89	911024-1	ED	1	18/1/1993	RSR	SRM612	zircon	25	1228	10.06	1020	8.354	3054	7.271	3.82	0.081	13	16	0.8		117	4	[1]
59	BMT89	910809-1	ED	1	25/2/1993	RSR	SRM612	zircon	26	1482	11.48	1277	9.892	3149	7.498	3.939	0.083	2	15.9	0.7		134	4	[1]
60	BMT89	910809-2	ED	1	25/2/1993	RSR	SRM612	zircon	30	1781	10.46	1540	9.048	3149	7.498	3.939	0.083	28	15.8	0.7		122	4	[1]
61	BMT89	910809-3	ED	1	6/7/1993	RSR	SRM612	zircon	30	2120	11.34	1812	9.69	3095	7.369	3.871	0.082	79	15.8	0.6		133	4	[1]
62	BMT89	920107-1	ED	1	7/9/1993	RSR	SRM612	zircon	27	968	9.22	812	7.733	3046	7.252	3.81	0.081	40	15.8	0.9		108	4	[1]
63	BMT89	910809-1	ED	1	7/5/1992	OSU	SRM612	zircon	26	1482	11.48	8831	68.4	4961	51.68	28.16	0.5	2	16.4	0.6		129	2	[2]
64	BMT89	910826-1	ED	1	21/4/1993	OSU	SRM612	zircon	30	1509	10.29	8210	56	4886	50.9	27.74	0.5	71	17.7	0.6		108	2	[2]
65	BMT89	911024-1	ED	1	21/4/1993	OSU	SRM612	zircon	25	1228	10.06	7568	62	4894	50.98	27.78	0.5	1	15.7	0.6		119	2	[2]
