"","IGSN","dosimeter","irradiation","p-value"
"1","EVA00001K","IRMM 540","UC05a",NA
"2","EVA00001L","IRMM 540","UC05a",NA
"3","EVA00001M","IRMM 540","UC05a",NA
"4","EVA00001N","IRMM 540","UC05a",NA
"5","EVA00001O","IRMM 540","UC05a",NA
"6","EVA00001P","IRMM 540","UC05a",NA
"7","EVA00001Q","IRMM 540","UC05a",NA
"8","EVA00001R","IRMM541","UC04z",NA
"9","EVA00001S","IRMM541","UC04z",NA
"10","EVA00001T","IRMM541","UC04z",NA
"11","EVA00001U","IRMM541","UC04z",NA
"12","EVA00001R","IRMM541","UC04z",NA
"13","EVA00001W","IRMM541","UC04z",NA
"14","EVA00001X","IRMM541","UC04z",NA
"15","EVA00001Y","IRMM541","UC04z",NA
"16","EVA00001Z","IRMM541","UC04z",NA
"17","EVA000020","IRMM541","UC04z",NA
"18","EVA000021","IRMM541","UC04z",NA
"19","EVA000023","IRMM541","UC04z",NA
"20","EVA000025","IRMM541","UC04z",NA
"21","EVA000026","IRMM541","UC04z",NA
"22","EVA000027","IRMM541","UC04z",NA
"23","EVA000022","IRMM541","UC04z",NA
"24","EVA000024","IRMM541","UC04z",NA
"25","EVA000028","IRMM541","TU11z","92.7"
"26","EVA000029","IRMM541","TU11z","96.3"
"27","EVA00002A","IRMM541","TU11z","63.6"
"28","EVA00002B","IRMM541","TU11z","36.4"
"29","EVA00002C","IRMM541","TU11z","59.8"
"30","EVA00002D","IRMM541","TU11z","30.4"
"31","EVA00002E","IRMM541","TU11z","57.5"
"32","EVA00002F","IRMM541","TU11z","42.7"
"33","EVA00002G","IRMM541","TU11z","30.3"
"34","EVA00002I","IRMM541","TU11z","38.4"
"35","EVA00002J","IRMM541","TU11z","37.1"
"36","EVA00002K","IRMM541","TU11z","34.4"
"37","EVA00002L","IRMM541","TU11z","81.1"
"38","EVA00002M","IRMM541","TU11z","48.0"
"39","EVA00002N","IRMM541","TU11z","61.7"
"40","EVA00002O","IRMM541","TU11z","76.7"
"41","EVA00002P","IRMM541","TU11z","96.4"
"42","EVA00002Q","IRMM541","TU11z","23.9"
"43","EVA00002R","IRMM541","TU11z","84.2"
"44","EVA00002S","IRMM541","TU11z","5.8"
"45","EVA00002T","IRMM541","TU11z","25.8"
"46","EVA00002U","IRMM541","TU11z","83.0"
"47","EVA00002V","IRMM541","TU11z","59.1"
"48","EVA00002W","IRMM541","TU11z",NA
"49","EVA00002X","IRMM541","TU11z",NA
"50","EVA00002Y","IRMM541","TU11z",NA
"51","EVA00002Z","IRMM541","UC2z",NA
"52","EVA000030","IRMM541","TU11z",NA
"53","EVA000031","IRMM541","TU11z",NA
"54","EVA000032","IRMM541","TU11z",NA
"55","EVA000033","IRMM541","TU11z",NA
"56","EVA000034","IRMM541","UC2z",NA
"57","EVA000035","IRMM541","TU11z",NA
"58","EVA000036","IRMM541","UC2z",NA
